customer_id,tenure_months,monthly_charges,contract_type,login_count_last_month,support_tickets,days_since_last_login,payment_method,internet_service,online_security,tech_support,streaming_tv,paperless_billing,senior_citizen,total_charges,churned
CUST_00000,52,22.323611515343796,One Year,42,11,29,Bank Transfer,No,No,Yes,No internet service,Yes,1,1135.7360588161737,Yes
CUST_00001,15,148.4039106656841,Two Year,14,5,57,Cash,No,No,No internet service,No internet service,No,0,2141.3125134391257,Yes
CUST_00002,61,75.6105073856621,One Year,11,7,67,Electronic Check,Fiber Optic,No internet service,No internet service,No internet service,No,0,4429.046688849391,Yes
CUST_00003,21,69.96246413075862,One Year,39,5,66,Credit Card,No,No,No internet service,No internet service,Yes,0,1407.1356830977295,Yes
CUST_00004,24,108.35414675009908,One Year,53,3,70,Bank Transfer,DSL,Yes,Yes,No,No,0,2624.7516427637042,Yes
CUST_00005,3,48.37300542245834,One Year,19,12,17,Credit Card,Fiber Optic,Yes,No internet service,No,Yes,0,140.61086099256946,Yes
CUST_00006,22,143.4949539135293,Month-to-Month,29,3,6,Cash,DSL,No,No internet service,No,Yes,1,3113.0848765742826,Yes
CUST_00007,53,122.22485187402177,Month-to-Month,37,5,39,Bank Transfer,Fiber Optic,Yes,No internet service,Yes,No,0,6712.429226490897,Yes
CUST_00008,2,31.62343030059374,Month-to-Month,2,13,69,Bank Transfer,DSL,Yes,Yes,No,No,1,62.76832308867433,Yes
CUST_00009,30,74.28550085204068,Month-to-Month,27,14,85,Bank Transfer,No,Yes,No,No,Yes,0,2321.2045459765613,Yes
CUST_00010,38,134.2853799830814,Month-to-Month,55,12,64,Electronic Check,DSL,No,No internet service,No,Yes,0,5101.792260080645,Yes
CUST_00011,2,142.81516289788334,Month-to-Month,25,3,67,Electronic Check,DSL,No internet service,No,No,Yes,0,282.74079272957437,Yes
CUST_00012,64,80.76219646248306,Month-to-Month,29,7,48,Electronic Check,Fiber Optic,Yes,No,No,No,0,5298.201115817985,Yes
CUST_00013,60,99.74348059739201,Two Year,12,8,51,Credit Card,DSL,No,No internet service,Yes,Yes,0,5729.170828316415,Yes
CUST_00014,21,41.71441299196978,Month-to-Month,12,0,28,Credit Card,DSL,No,No,Yes,No,0,840.0408694551197,Yes
CUST_00015,33,148.85192139780696,Month-to-Month,1,12,20,Credit Card,DSL,Yes,No,Yes,No,0,4986.7646178816285,Yes
CUST_00016,58,50.11732117984764,Month-to-Month,36,3,89,Electronic Check,Fiber Optic,No internet service,No,Yes,No,0,2903.008548911147,Yes
CUST_00017,22,142.55513063756632,One Year,48,3,77,Credit Card,Fiber Optic,No,No internet service,No internet service,Yes,0,3227.2932787129316,Yes
CUST_00018,49,104.4540643690079,Month-to-Month,37,1,8,Bank Transfer,No,No,Yes,Yes,No,0,5331.306940191615,Yes
CUST_00019,59,99.00578333425169,Month-to-Month,1,5,46,Electronic Check,Fiber Optic,No,No,Yes,Yes,0,5776.132500860007,Yes
CUST_00020,42,86.64950643214611,One Year,35,2,75,Electronic Check,Fiber Optic,Yes,No,No,Yes,0,3674.365571268549,Yes
CUST_00021,60,49.98707552330863,Month-to-Month,53,6,41,Bank Transfer,DSL,No,No,No,Yes,0,2999.433465715813,Yes
CUST_00022,15,42.94864416071607,Month-to-Month,25,12,50,Bank Transfer,DSL,Yes,No,Yes,Yes,0,675.2564494205351,Yes
CUST_00023,62,48.66320717912279,Month-to-Month,10,10,55,Credit Card,No,No internet service,No internet service,No,No,0,3117.0109455812335,Yes
CUST_00024,62,44.236974078753086,Month-to-Month,7,10,50,Electronic Check,DSL,No,No internet service,No,Yes,0,2855.6193809182164,Yes
CUST_00025,47,121.34598156367792,Month-to-Month,43,4,69,Electronic Check,DSL,No,Yes,Yes,Yes,0,5563.154870435272,Yes
CUST_00026,62,65.51628369167491,Month-to-Month,39,3,19,Credit Card,No,Yes,No,Yes,No,0,4172.710083294913,Yes
CUST_00027,51,27.519547953241528,Two Year,42,4,87,Bank Transfer,Fiber Optic,No,Yes,No internet service,Yes,0,1370.5811843772367,Yes
